Headline,Body ID,Stance,Confidence
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,2124,unrelated,1
Durex is not confirming or denying rumors of a “pumpkin spice” condom,608,unrelated,1
SHOCKING: Indian Man's Penis Cut-off After He Was Caught Attempting Rape [Photos],36,unrelated,1
NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,409,unrelated,1
Audio of gunfire in Michael Brown case authenticated by app company,388,unrelated,1
Kim Jong-Un's sister reportedly running N. Korea,1817,unrelated,1
Pentagon: ISIS seized materials airdropped to Kurds,2116,unrelated,1
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1693,unrelated,1
Meteorite leaves crater in Nicaraguan capital Managua,1817,unrelated,1
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",2130,unrelated,1
"Fidel Castro Is Dead, According to Viral Twitter Rumors",47,unrelated,1
Texas plumber's truck on front line of Syria war,1273,unrelated,1
Has North Korean dictator Kim Jong-un been replaced by his sister?,1029,unrelated,1
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",691,unrelated,1
Is Durex Planning To Release A Pumpkin Spice Condom?,1060,unrelated,1
Is Kim Jong Un's sister Kim Yo Jong in charge?,1817,unrelated,1
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,740,unrelated,1
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,737,unrelated,1
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2130,unrelated,1
Alleged Audio of Michael Brown Shooting Doesn’t Sound Good for Officer Darren Wilson,900,unrelated,1
Former British Rapper Reportedly Under Investigation for James Foley Beheading,2174,unrelated,1
US officials: Video shows American's execution,2525,unrelated,1
Star Wars VII for a New SUMMER Release Date!?,808,unrelated,1
Has Kim Yo-Jong Taken Over For Kim Jong Un? Sister Assumes North Korea State Duties While Brother Undergoes Medical Treatment,465,unrelated,1
"U.S. accidentally delivered weapons to the Islamic State by airdrop, militants say",2223,unrelated,1
Doubts cast over Nicaragua meteorite claim,1722,unrelated,1
Parents are furious after seven girls aged 13-14 fall pregnant on a school trip,2124,unrelated,1
Vandal paints penis on £1.5million Bugatti Veyron,822,unrelated,1
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,206,unrelated,1
"UPDATED 'Jihadi John' identified as Mohammed Emwazi of London, reports say",1933,unrelated,1
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1329,unrelated,1
It’s About To Get Harder To Be Arrested For Pot Possession In New York City,221,unrelated,1
The Man Who Says Comcast Got Him Fired Has Filed a Lawsuit,2046,unrelated,1
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,2167,unrelated,1
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",2154,unrelated,1
KANYE WEST BARRED FROM ALL FUTURE AWARDS SHOWS,2048,unrelated,1
REPORT: JETLINERS STOLEN FROM LIBYA COULD BE USED TO ATTACK U.S. ON 9/11,1660,unrelated,1
"Boko Haram denies truce, says kidnapped girls married",381,unrelated,1
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",126,unrelated,1
US Marine survives headshot in Afghanistan,2091,unrelated,1
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,2523,unrelated,1
"Rajasthan: Man Tries to Rape Teenager, Angry Mob Chops His Penis Off",368,unrelated,1
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",2515,unrelated,1
KC Man Does Not Have Ebola,781,unrelated,1
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,789,unrelated,1
"Fidel Castro Rumors Sweep Internet, But No Sign in Cuba",892,unrelated,1
Robert Plant Reportedly Tears Up $800 Million Led Zeppelin Reunion Contract,158,unrelated,1
Ski Resort Opens With Snow Stored From Last Season,1148,unrelated,1
Married TV actor wakes up to find his testicles have been STOLEN after he is drugged in Russian bar by attractive blonde working for organ traffickers,1258,unrelated,1
Seth Rogen to Play Apple’s Steve Wozniak,1642,unrelated,1
Isilkulskom student has gained superhero powers after shock,513,unrelated,1
Homeland Security says terrorists haven't crossed U.S-Mexico border,80,unrelated,1
Batmobile Rumored To Have Been Stolen From Batman V. Superman: Dawn Of Justice Set,2431,unrelated,1
Canadian-Israeli woman reportedly kidnapped by ISIS: Jerusalem Post,1319,unrelated,1
"Tiger Woods PED, PGA Tour Suspension Allegations Retracted by Dan Olsen",2046,unrelated,1
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,892,unrelated,1
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",387,unrelated,1
Sources: Guns N' Roses Frontman Axl Rose Found Dead in West Hollywood Home at Age 52,769,unrelated,1
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,1003,unrelated,1
Opposition group: ISIS militants training to fly warplanes in Syria,2218,unrelated,1
"Hoax Alert: Father O’Neal, Who Has Met God and Thinks She’s a Woman, Is Made Up (Just Like God Herself)",2277,unrelated,1
Watch marine take sniper shot to the head and live,709,unrelated,1
Incredible Video Shows A US Marine Surviving Being Shot In The Head By A Sniper In Afghanistan,2452,unrelated,1
Seth Rogen set to play Steve Wozniak in Danny Boyle's Steve Jobs biopic,388,unrelated,1
"Fidel Castro Rumors Sweep Internet, but No Sign in Cuba",2132,unrelated,1
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,559,unrelated,1
High school student scores $72M playing the stock market,313,unrelated,1
DNA test confirms child is IS head Abu Bakr al-Baghdadi's daughter,170,unrelated,1
"Forget 18-karat gold, next-generation Apple Watch Edition could use platinum: Report",1311,unrelated,1
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,1673,unrelated,1
Update: Did Boston.com Make Up This Story About The Web Sheriff Ben Edelman Sending Racist Emails?,1261,unrelated,1
Teen Makes $72 Million on the Stock Market,405,unrelated,1
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,unrelated,1
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,190,unrelated,1
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2525,unrelated,1
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1321,unrelated,1
An audio recording of the Michael Brown shooting has reportedly surfaced,346,unrelated,1
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,2124,unrelated,1
"A Vice Guide To Spending $300,000 On Dinner",2130,unrelated,1
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",651,unrelated,1
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,1291,unrelated,1
Founding Fathers-Era Time Capsule Found in Boston,601,unrelated,1
Source: Tom Brokaw Wants Brian Williams Fired,373,unrelated,1
Alleged audio of Michael Brown shooting released,2448,unrelated,1
"Stainless steel Apple Watch could cost just $499, but gold will be 10 times as pricey",698,unrelated,1
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",190,unrelated,1
Nasty iOS 8 Bug Could Erase Your iCloud Drive Documents,221,unrelated,1
It's back! The incredible new Batmobile takes a spin around Detroit... after rumors it had been STOLEN,702,unrelated,1
Unconfirmed Reports Say UK Hostage Held By ISIS Found Innocent,650,unrelated,1
Fake Fox News Twitter account emerges after #FoxNewsFacts goes viral,387,unrelated,1
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",80,unrelated,1
"Bosnia: Seven underage girls return from five day school trip, pregnant",2022,unrelated,1
Catholic Priest Claims God Is Female After Clinically Dead Experience,615,unrelated,1
"If you really believed Colorado KFCs were selling pot, here’s a reality check",1647,unrelated,1
Will King of Jordan lead airstrikes on ISIS HIMSELF? Reports say trained pilot plans to take part in attack after quoting Clint Eastwood's Unforgiven to Congressmen,1689,unrelated,1
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,225,unrelated,1
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,639,unrelated,1
Hero soldier Nathan Cirillo killed by convicted criminal Michael Zehaf-Bibeau,1739,unrelated,1
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,962,unrelated,1
Hospital Officials: Kansas City Patient Not Being Treated For Ebola,1933,unrelated,1
Was Alleged Audio of Michael Brown Shooting on CNN a Hoax?,456,unrelated,1
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1651,unrelated,1
N Korean leader misses annual ritual; sister ‘takes over duties’,780,unrelated,1
Cheese addiction breaks Kim Jong-un's ankles,2042,unrelated,1
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",737,unrelated,1
"Tropical spider burrows under man's skin, lives there for three days",147,unrelated,1
Detroit Police Issue Statement That The Batmobile Is Safe,702,unrelated,1
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',1011,unrelated,1
"'Nasa Confirms Six Days of Darkness in December': No, they really don't - it's a hoax",696,unrelated,1
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,754,unrelated,1
"Rumor: Apple shooting for 19 hours of Apple Watch battery life under normal conditions, 2.5 hours 'heavy' use",1725,unrelated,1
No One In North Korea Is Allowed To Share Kim Jong Un's Name,1975,unrelated,1
Tiger Woods selling Swedish villa — island included,1836,unrelated,1
White House fence-jumper made it far deeper into building than previously known,1323,unrelated,1
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",470,unrelated,1
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,1483,unrelated,1
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",2042,unrelated,1
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,531,unrelated,1
Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,702,unrelated,1
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1806,unrelated,1
British hostage David Haines beheaded by Islamic State terrorists,787,unrelated,1
"Apple Watch users will need to recharge nightly, company still working to improve uptime before launch",1331,unrelated,1
"Nun gives birth, intends to keep baby",269,unrelated,1
Isis claims US hostage Kayla Mueller killed in coalition airstrike,663,unrelated,1
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,1294,unrelated,1
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",676,unrelated,1
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,2042,unrelated,1
Islamic State claims it executed American photojournalist James Foley,1120,unrelated,1
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',2360,unrelated,1
Kim Jong-un So Fat He Injured His Ankles,1097,unrelated,1
Dumped woman spends a week in KFC to get over ex,1805,unrelated,1
UPDATE: Internet report of Ebola outbreak in Purdon not true,1277,unrelated,1
"NYPD to issue tickets instead of arrest for weed possession, report says",269,unrelated,1
Video messaging service verifies timing of CNN audio recording,900,unrelated,1
Boy who suffered powerful electric shock claims he now has 'superpowers' like X-Men's Magneto as metal objects stick to him,1503,unrelated,1
Watch: US marine survives Taliban sniper headshot in Afghanistan,305,unrelated,1
KANE'S FUTURE IN WINNIPEG IN DOUBT?,484,unrelated,1
"How did Fake Chinese News Site Dupe Washington Post, Atlantic, BBC?",322,unrelated,1
ISIL Beheads American Photojournalist in Iraq,2277,unrelated,1
Shocking moment shows 'adulteress' stripped naked and beaten in busy shopping centre,1334,unrelated,1
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,513,unrelated,1
Scientists Doubt That Meteor Caused Crater In Nicaragua,1817,unrelated,1
The Apple Watch has a low-power mode that only tells the time,1058,unrelated,1
Video shows ISIL beheading of photojournalist James Foley,2525,unrelated,1
Russian Man Wakes Up to Find His Testicles Have Been Stolen,1015,unrelated,1
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,170,unrelated,1
CNN Expert on Brown Audio: At First I Thought ‘Someone’s Trying to Punk CNN’,1817,unrelated,1
Isis Syria News: Video Shows US Airdropped Weapons and Grenades 'Captured by Islamic State',1938,unrelated,1
Google to Buy Redwood City Offices for $585M,1476,unrelated,1
"Why the most expensive Apple Watch will probably cost around $10,000",2211,unrelated,1
"Meteorite makes big crater in Nicaragua, government says",345,unrelated,1
Boy who suffered powerful electric shock claims he now has 'superpowers' like X-Men's Magneto as metal objects stick to him,308,unrelated,1
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,2481,unrelated,1
Small Meteorite Hits Managua,1071,unrelated,1
KC hospital: Patient does not have symptom profile of Ebola,2127,unrelated,1
North Korean dictator Kim Jong-Un to open restaurant in Scotland,1336,unrelated,1
Tiger Woods' agent shoots down report of failed drug test,173,unrelated,1
Cheese addiction breaks Kim Jong-un's ankles,2210,unrelated,1
British hostage David Haines beheaded by Islamic State terrorists,331,unrelated,1
"Marine Gets Shot in the Head, Walks Away",709,unrelated,1
"Nun gives birth, intends to keep baby",1480,unrelated,1
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",398,unrelated,1
Islamic State Flying Three Jets in Syria,487,unrelated,1
Second person rushed to hospital with Ebola symptoms after contact with 'patient zero' Thomas Duncan,224,unrelated,1
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,508,unrelated,1
Apple in talks to become launch partner for cable-free HBO Now service,2306,unrelated,1
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",1722,unrelated,1
First Human Death Confirmed From Eating GMO [Satire],578,unrelated,1
US hostage Luke Somers dies after rescue bid,1165,unrelated,1
"Pictured: Heroic sergeant-at-arms, 58, walking through Parliament gun in hand just moments after he killed gunman Michael Zehaf-Bibeau",2104,unrelated,1
Kim Jong ill? Analysts say 27-year-old sister Kim Yo Jong may be running North Korea (VIDEO),2034,unrelated,1
One of 'Taliban Five' in Bowe Bergdahl swap allegedly returned to militancy,2524,unrelated,1
"Hostage David Haines' Murder 'Evil', PM Says",2034,unrelated,1
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2127,unrelated,1
"Rumor: Stainless Steel Apple Watch Will Cost $500, Gold $4,000",698,unrelated,1
"Pizza delivery man gets $2,000 tip",1940,unrelated,1
Former PGA Tour player: Tiger Woods suspended for drug test failure,1826,unrelated,1
Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,1368,unrelated,1
Dog found abandoned at Scottish train station with suitcase of belongings,487,unrelated,1
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",1649,unrelated,1
KANE'S FUTURE IN WINNIPEG IN DOUBT?,696,unrelated,1
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,513,unrelated,1
Weather Reporter Mike Seidel Was Caught Off Guard on Live TV and Appeared to Be Urinating in the Snow -- Watch!,381,unrelated,1
Cold Turkey,1891,unrelated,1
"How did Fake Chinese News Site Dupe Washington Post, Atlantic, BBC?",1731,unrelated,1
Meteorite strike in Nicaragua puzzles experts,1175,unrelated,1
Has J.J. Abrams Asked for THE FORCE AWAKENS Release Date to be Moved Up?,748,unrelated,1
Indian worker sacked after going on leave for 24 years,2210,unrelated,1
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,1291,unrelated,1
Media outlets identify 'Jihadi John',1107,unrelated,1
Sick Mum Sedated After Trying To Eat Baby,698,unrelated,1
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,324,unrelated,1
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",1148,unrelated,1
Missing Planes,1660,unrelated,1
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1011,unrelated,1
Google Said to Buy Redwood City Offices for $585 Million,1503,unrelated,1
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,1817,unrelated,1
Missing Mexican students 'not found in mass grave',1740,unrelated,1
Vladimir Putin Bird Poop Video is Fake,1331,unrelated,1
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,242,unrelated,1
Lebanon 'holding IS leader's daughter and ex-wife',691,unrelated,1
Hunt for 'cruel' owner who abandoned dog at train station,424,unrelated,1
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),2523,unrelated,1
"A Vice Guide To Spending $300,000 On Dinner",1817,unrelated,1
New Rumour Suggests Apple Watch to Launch in February,1056,unrelated,1
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,1492,unrelated,1
ISIS Releases YouTube Video Showing 10-Year-Old 'Martyr' Allegedly Killed in Battle,1261,unrelated,1
Schoolboy who got electric shock from lamppost claims he now has magnetic powers,1317,unrelated,1
"Despite ceasefire announcement, new Boko Haram attacks reported",1003,unrelated,1
"Fidel Castro Is Dead, According to Viral Twitter Rumors",1906,unrelated,1
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,1646,unrelated,1
Bug in iOS 8's 'Reset All Settings' Option Also Erases iCloud Drive Documents,221,unrelated,1
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,1646,unrelated,1
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,1223,unrelated,1
"Ann Arbor pizza delivery driver surprised with $2,000 tip",1699,unrelated,1
Mexican investigators fear mass grave might hold 43 missing students,1148,unrelated,1
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",1319,unrelated,1
"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",2502,unrelated,1
Has this Argentine woman fallen victim to a cruel online hoax? Adult video claiming to show teacher having sex with pupil isn't all it seems,822,unrelated,1
Axl Rose Dead? Fans Freak Out Over Death Rumors,414,unrelated,1
Christian Bale quits Steve Jobs movie,630,unrelated,1
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,1003,unrelated,1
WHO: Isis does not have Ebola – but contingency plan being developed for Iraq,267,unrelated,1
Popular 'Banksy' Instagram account offers powerful message of perseverance after Paris attack,1867,unrelated,1
"How did Fake Chinese News Site Dupe Washington Post, Atlantic, BBC?",377,unrelated,1
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,1294,unrelated,1
Marijuana May Soon Spark Just a Ticket in New York,2217,unrelated,1
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",892,unrelated,1
Banksy arrest hoax: US website claims street artist caught in Watford,2185,unrelated,1
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",608,unrelated,1
Eyewitness Says Viral Video of Homeless Man Was Staged,8,unrelated,1
"Led Zeppelin Reunion: Robert Plant Rips Up $300 Million Contract, Refuses To Rejoin Legendary Band",2508,unrelated,1
Saudi Arabia 'fatwa over building of snowmen',599,unrelated,1
Bali Awry,1819,unrelated,1
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',1090,unrelated,1
A Bunch Of People Thought Banksy Got Arrested But It Was A Hoax,1544,unrelated,1
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1697,unrelated,1
Parliament Hill shooting: Sergeant-At-Arms Kevin Vickers the family hero who took down Ottawa gunman,1175,unrelated,1
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,499,unrelated,1
That ESPN Domestic Violence Panel You Keep Hearing About Isn't Real,1017,unrelated,1
Chinese advised to choose British-sounding names to get ahead,691,unrelated,1
Gateway Pundit,2327,unrelated,1
Man cut off manhood and threw it in bin after girlfriend dumped him over small penis,1379,unrelated,1
Former PGA Tour player: Tiger Woods suspended for drug test failure,225,unrelated,1
Tiger Woods prices private island at $7.1 million,1802,unrelated,1
Large space object slams Nicaragua’s capital as asteroid passes Earth,269,unrelated,1
ISIS Kobani Update: Possible ISIS Chemical Attack On Kurdish Civilians In Kobani,703,unrelated,1
British rapper a suspect in ISIS beheading,913,unrelated,1
"Obama, Outraged Over Beheading, Vows to Stay on Course",1679,unrelated,1
"Don't forget to tip...especially if you spend $300,000",1817,unrelated,1
"No, a bird didn't poop on Vladimir Putin",1004,unrelated,1
"Tour, agent: Tiger Woods not banned",1175,unrelated,1
Missing Planes,1699,unrelated,1
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,789,unrelated,1
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",1817,unrelated,1
"#Hairgate: Reports of iPhone 6 pulling out hair, beards, likely exaggerated",403,unrelated,1
British Aid Worker Confirmed Murdered By ISIS,1011,unrelated,1
